baselineWT_1	24hrsWT_1	30hrsWT_1	40hrsWT_1	48hrsWT_1	96hrsWT_1	7daysWT_1	4wksWT_1
ENSMUSG00000000782	1.09067366666667	3.91856666666667	3.527505	2.99991333333333	2.579985	0.888054666666667	1.84199	0.914423
ENSMUSG00000000787	32.5606333333333	37.5213	31.32925	43.1829333333333	41.09305	40.7613333333333	29.4046666666667	26.4389333333333
ENSMUSG00000000791	0.602981	0.118148233333333	0.3922675	0.1625034	0.150547	0.907019666666667	0.276424333333333	0.272927333333333
ENSMUSG00000000792	0	0	0	0.0137980333333333	0	0	0.00543713333333333	0.00431896666666667
ENSMUSG00000000794	0.00469367333333333	0	0.0039486	0	0.00300918	0.00214951	0.00483353333333333	0.00339283666666667
ENSMUSG00000000804	3.70710333333333	4.68139666666667	3.442475	4.98690333333333	5.11759	3.52262	3.50513333333333	3.52695
ENSMUSG00000000805	0.0556876666666667	0.0619993333333333	0	0	0	0.0618969	0	0
ENSMUSG00000000811	3.15849	1.66128666666667	1.384565	0.99904	0.908258	2.49484666666667	2.79726666666667	2.27513
ENSMUSG00000000817	0	0.0169092666666667	0.03643565	0.0100364333333333	0	0.0386541333333333	0.0196252	0.0166680333333333
ENSMUSG00000000823	4.83193	6.04564333333333	5.431255	5.1804	4.264265	3.30506333333333	5.10059666666667	3.54004
ENSMUSG00000000826	9.24719666666667	11.8686333333333	9.71249	10.6096666666667	11.6824	7.53184	7.89517333333333	7.30301666666667
ENSMUSG00000000827	19.2780666666667	16.9611666666667	18.8162	18.3766666666667	20.6991	23.5821333333333	17.2519	16.0728
ENSMUSG00000000838	4.13188666666667	4.3943	4.46514	9.22041333333333	8.47595	4.73324333333333	3.97546	4.02834666666667
ENSMUSG00000000861	0.05452206	0.040772	0.0742335	0.0065814	0.00428824	0.0499422666666667	0.00529033333333333	0.0176142666666667
ENSMUSG00000000869	0	0	0.06982	0	0	0.0966823333333333	0.0894696666666667	0.0319601
ENSMUSG00000000876	37.2820666666667	80.4725333333333	41.50805	55.8570666666667	46.86315	38.6051	31.6085	56.1864333333333
ENSMUSG00000000881	4.23881	3.65905333333333	3.60308	4.05371666666667	4.062305	3.22083666666667	4.3526	4.54875333333333
ENSMUSG00000000884	1.089947	0.796727333333333	1.472555	1.418949	1.325525	1.050925	1.03943966666667	0.879245333333333
ENSMUSG00000000901	0.277141333333333	0.1220271	0.20182245	0.297675	0.431254	0.364550666666667	0.154279	0.327460333333333
ENSMUSG00000000902	8.23159333333333	11.7664333333333	12.4271	12.2092	14.82505	5.63572666666667	9.29506666666667	10.2702466666667
ENSMUSG00000000903	0.571055666666667	0.0316437333333333	0	0.099377	0	0.144826	0.127852066666667	0.189543866666667
ENSMUSG00000000915	6.02925666666667	10.8500733333333	10.98355	10.8315866666667	10.38168	6.39215333333333	5.36927	5.05747666666667
ENSMUSG00000000916	3.44897333333333	4.17777666666667	3.76525	3.94645333333333	4.434135	3.68990666666667	3.52247333333333	3.96762333333333
ENSMUSG00000000934	8.50294333333333	8.27115	6.8003	7.51582333333333	8.70326	6.34644333333333	8.35782333333333	8.74724666666667
ENSMUSG00000000942	0.118043	0.171923333333333	0.10390365	0.100387366666667	0.1182182	0.0230446333333333	0.1032288	0.0677725
ENSMUSG00000000948	0.0515709333333333	0.0981043333333333	0.0489682	0.224118333333333	0.2030735	0.299108	0.109233233333333	0.125793533333333
ENSMUSG00000000957	5.60231666666667	17.0271333333333	13.826	11.7687333333333	15.80955	3.78235666666667	8.30691666666667	5.56299
ENSMUSG00000000958	1.08382733333333	1.27181666666667	1.448607	1.37058833333333	1.45935	0.925462666666667	1.716008	1.09625233333333
ENSMUSG00000000959	18.3631666666667	14.3299666666667	13.9395	14.6178	15.6108	11.0149933333333	18.5548	18.3575666666667
ENSMUSG00000000976	2.18348333333333	2.47172666666667	1.988735	2.79116666666667	2.643305	1.20357	1.61388666666667	1.89408666666667
ENSMUSG00000000982	0.0317794	0.161428033333333	0.054153	0.063986	0.278922	0.140816533333333	0.1769252	0.0586086666666667
ENSMUSG00000000983	0.054877	0.04103	0	0.0544166666666667	0	0.187426	0.143437	0.148545
ENSMUSG00000001014	0.2322982	0.107017466666667	0.1923445	0.125747666666667	0.227003	0.134721633333333	0.254760333333333	0.446433
ENSMUSG00000001016	6.26807	7.66309666666667	8.81274	15.4576666666667	17.2177	6.97357666666667	5.92462666666667	6.09175333333333
ENSMUSG00000001017	20.5829666666667	20.592	20.367	23.9153666666667	25.6937	21.0500333333333	21.8391	20.8645
ENSMUSG00000001018	9.51013333333333	7.64969333333333	8.37195	7.04242	6.75814	7.81336666666667	9.58442666666667	9.09718
ENSMUSG00000001020	0.278214	1.97407	1.1653975	1.51627433333333	0.6564595	0.753191333333333	1.82192333333333	0.729627
ENSMUSG00000001021	0	0	0.00431152	0	0	0.00815717966666667	0	0.000295358333333333
ENSMUSG00000001025	2.31439	7.47071333333333	7.83652	8.81624666666667	4.236655	2.1554	3.00090333333333	4.51315666666667
ENSMUSG00000001027	0	0	0	0	0	0	0	0.00185382333333333
ENSMUSG00000001029	1.82852	2.19153333333333	2.673965	3.23905333333333	3.343035	2.04276333333333	2.07305333333333	1.32696333333333
ENSMUSG00000001034	0.489032	0.706000666666667	0.725114	0.624871666666667	0.575048	0.508920666666667	0.673737666666667	0.562688666666667
ENSMUSG00000001036	1.35162333333333	1.98507	2.16664	2.16787333333333	1.750105	1.15496	1.37283333333333	1.27557266666667
ENSMUSG00000001039	0.457020333333333	0.291499333333333	0.4260065	0.646083333333333	0.7619055	0.617038	0.416917	0.640797
ENSMUSG00000001052	5.80394	5.52183333333333	7.31766	7.50837666666667	7.94062	6.56927333333333	7.05052666666667	6.20259333333333
ENSMUSG00000001053	1.35034366666667	1.53033333333333	1.293114	1.80020333333333	1.53797	1.33686033333333	1.65967666666667	1.35117433333333
